Store ID,Store Name,Address,Service Area,State,Zip,Lat,Lon
30857,BAY AREA WELLNESS COLLECTIVE,,east-bay,CA,,37.772796,-122.216281
29820,BAY CARE DELIVERY,,san-francisco,CA,,37.774929,-122.419416
30005,BAZIC MEDICAL WELLNESS,,victorvillehigh-desert,CA,,34.586961,-117.126475
31583,BE COLLECTIVE,,berkeley,CA,,37.871593,-122.272747
30632,BEACH420 MEDICAL MARIJUANA DISPENSARY,,north-san-diego,CA,,32.715738,-117.161084
30631,BEACH420 MEDICAL MARIJUANA DISPENSARY,,oceansidecarlsbad,CA,,33.158093,-117.350594
29693,BELLA BUDS DELIVERY,,victorvillehigh-desert,CA,,34.586961,-117.126475
31604,BEST BUDS DELIVERY,,aliso-viejolaguna-beach,CA,,33.575,-117.725556
31333,BEST IN THE WEST HEALING ASSOCIATION,,victorvillehigh-desert,CA,,34.586961,-117.126475
31252,BEST MEDICAL SOLUTIONS,,north-county,CA,,33.17205,-117.111602
29611,BETTER HEALING MEDS,,moreno-valley,CA,,33.942466,-117.229672
31153,BIG BEAR'S BEST MEDS,,big-bear-mtn-resorts,CA,,34.261118,-116.84503
31614,BONI'S BUDS N MORE,,west-los-angeles,CA,,34.041209,-118.442596
30754,BRISTOL PHARMS,,beach-cities,CA,,33.872711,-118.381625
30675,BUDZTERZ,,hollywood,CA,,34.092809,-118.328661
30743,BUDZTERZ DELIVERY,,hollywood,CA,,34.092809,-118.328661
29901,C4 DELIVERY SERVICE,,lake-elsinore,CA,,33.668077,-117.327262
31542,CALIFORNIA ALTERNATIVE HEALING,,mesa,CA,,37.421667,-118.544167
31207,CALIFORNIA CARE GROUP,,chino,CA,,39.728494,-121.837478
29780,CALIFORNIA TRANSIT CONNECTION,,pacific-beach,CA,,32.802458,-117.235585
31301,CALILIFE INC,,high-desert,CA,,34.507651,-117.322631
30238,CANNA BLISS,,north-county,CA,,33.17205,-117.111602
31013,CANNA DELIVERS,,beach-cities,CA,,33.872711,-118.381625
30860,CANNA DELIVERY,,north-hollywood,CA,,34.187044,-118.381256
30876,CANNA LIFE,,high-desert,CA,,34.507651,-117.322631
